SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,SepalLengthCm_Ry,SepalWidthCm_Ry,PetalLengthCm_Ry,PetalWidthCm_Ry
6.4,2.9,4.3,1.3,"[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99929604 -0.03751577]
 [ 0.03751577  0.99929604]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
6.6,3.0,4.4,1.4,"[[ 0.99834182 -0.05756403]
 [ 0.05756403  0.99834182]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
6.8,2.8,4.8,1.4,"[[ 0.99823983 -0.05930637]
 [ 0.05930637  0.99823983]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
6.7,3.0,5.0,1.7,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99988996 -0.01483475]
 [ 0.01483475  0.99988996]]"
6.0,2.9,4.5,1.5,"[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
5.7,2.6,3.5,1.0,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99974261 -0.02268733]
 [ 0.02268733  0.99974261]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
5.5,2.4,3.8,1.1,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99978068 -0.02094242]
 [ 0.02094242  0.99978068]]","[[ 0.99945022 -0.03315518]
 [ 0.03315518  0.99945022]]","[[ 0.99995393 -0.00959916]
 [ 0.00959916  0.99995393]]"
5.5,2.4,3.7,1.0,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99978068 -0.02094242]
 [ 0.02094242  0.99978068]]","[[ 0.99947877 -0.03228298]
 [ 0.03228298  0.99947877]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
5.8,2.7,3.9,1.2,"[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.9994209  -0.03402735]
 [ 0.03402735  0.9994209 ]]","[[ 0.99994517 -0.01047178]
 [ 0.01047178  0.99994517]]"
6.0,2.7,5.1,1.6,"[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]"
5.4,3.0,4.5,1.5,"[[ 0.99888987 -0.04710645]
 [ 0.04710645  0.99888987]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
6.0,3.4,4.5,1.6,"[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]"
6.7,3.1,4.7,1.5,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99915899 -0.04100374]
 [ 0.04100374  0.99915899]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
6.3,2.3,4.4,1.3,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]","[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
5.6,3.0,4.1,1.3,"[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99935999 -0.03577162]
 [ 0.03577162  0.99935999]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
5.5,2.5,4.0,1.3,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]","[[ 0.99939083 -0.0348995 ]
 [ 0.0348995   0.99939083]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
5.5,2.6,4.4,1.2,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99974261 -0.02268733]
 [ 0.02268733  0.99974261]]","[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99994517 -0.01047178]
 [ 0.01047178  0.99994517]]"
6.1,3.0,4.6,1.4,"[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.9991944  -0.04013179]
 [ 0.04013179  0.9991944 ]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
5.8,2.6,4.0,1.2,"[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99974261 -0.02268733]
 [ 0.02268733  0.99974261]]","[[ 0.99939083 -0.0348995 ]
 [ 0.0348995   0.99939083]]","[[ 0.99994517 -0.01047178]
 [ 0.01047178  0.99994517]]"
5.0,2.3,3.3,1.0,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]","[[ 0.99958537 -0.02879395]
 [ 0.02879395  0.99958537]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
5.6,2.7,4.2,1.3,"[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.99932839 -0.03664371]
 [ 0.03664371  0.99932839]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
5.7,3.0,4.2,1.2,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99932839 -0.03664371]
 [ 0.03664371  0.99932839]]","[[ 0.99994517 -0.01047178]
 [ 0.01047178  0.99994517]]"
5.7,2.9,4.2,1.3,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99932839 -0.03664371]
 [ 0.03664371  0.99932839]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
6.2,2.9,4.3,1.3,"[[ 0.99853667 -0.05407881]
 [ 0.05407881  0.99853667]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99929604 -0.03751577]
 [ 0.03751577  0.99929604]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
5.1,2.5,3.0,1.1,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99995393 -0.00959916]
 [ 0.00959916  0.99995393]]"
5.7,2.8,4.1,1.3,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99935999 -0.03577162]
 [ 0.03577162  0.99935999]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
6.3,3.3,6.0,2.5,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99958537 -0.02879395]
 [ 0.02879395  0.99958537]]","[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]"
5.8,2.7,5.1,1.9,"[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99986254 -0.01657987]
 [ 0.01657987  0.99986254]]"
7.1,3.0,5.9,2.1,"[[ 0.99808114 -0.06191955]
 [ 0.06191955  0.99808114]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99867483 -0.05146447]
 [ 0.05146447  0.99867483]]","[[ 0.99983208 -0.01832493]
 [ 0.01832493  0.99983208]]"
6.3,2.9,5.6,1.8,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.5,3.0,5.8,2.2,"[[ 0.99839167 -0.05669279]
 [ 0.05669279  0.99839167]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99981571 -0.01919744]
 [ 0.01919744  0.99981571]]"
7.6,3.0,6.6,2.1,"[[ 0.99780147 -0.0662739 ]
 [ 0.0662739   0.99780147]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99834182 -0.05756403]
 [ 0.05756403  0.99834182]]","[[ 0.99983208 -0.01832493]
 [ 0.01832493  0.99983208]]"
4.9,2.5,4.5,1.7,"[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99988996 -0.01483475]
 [ 0.01483475  0.99988996]]"
7.3,2.9,6.3,1.8,"[[ 0.99797155 -0.06366144]
 [ 0.06366144  0.99797155]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.7,2.5,5.8,1.8,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]","[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
7.2,3.6,6.1,2.5,"[[ 0.99802673 -0.06279052]
 [ 0.06279052  0.99802673]]","[[ 0.99950656 -0.03141076]
 [ 0.03141076  0.99950656]]","[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]"
6.5,3.2,5.1,2.0,"[[ 0.99839167 -0.05669279]
 [ 0.05669279  0.99839167]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.9998477  -0.01745241]
 [ 0.01745241  0.9998477 ]]"
6.4,2.7,5.3,1.9,"[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.9989306  -0.04623474]
 [ 0.04623474  0.9989306 ]]","[[ 0.99986254 -0.01657987]
 [ 0.01657987  0.99986254]]"
6.8,3.0,5.5,2.1,"[[ 0.99823983 -0.05930637]
 [ 0.05930637  0.99823983]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99983208 -0.01832493]
 [ 0.01832493  0.99983208]]"
5.7,2.5,5.0,2.0,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]","[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.9998477  -0.01745241]
 [ 0.01745241  0.9998477 ]]"
5.8,2.8,5.1,2.4,"[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99978068 -0.02094242]
 [ 0.02094242  0.99978068]]"
6.4,3.2,5.3,2.3,"[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.9989306  -0.04623474]
 [ 0.04623474  0.9989306 ]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]"
6.5,3.0,5.5,1.8,"[[ 0.99839167 -0.05669279]
 [ 0.05669279  0.99839167]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
7.7,3.8,6.7,2.2,"[[ 0.99774325 -0.06714462]
 [ 0.06714462  0.99774325]]","[[ 0.99945022 -0.03315518]
 [ 0.03315518  0.99945022]]","[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.99981571 -0.01919744]
 [ 0.01919744  0.99981571]]"
7.7,2.6,6.9,2.3,"[[ 0.99774325 -0.06714462]
 [ 0.06714462  0.99774325]]","[[ 0.99974261 -0.02268733]
 [ 0.02268733  0.99974261]]","[[ 0.99818769 -0.06017748]
 [ 0.06017748  0.99818769]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]"
6.0,2.2,5.0,1.5,"[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99981571 -0.01919744]
 [ 0.01919744  0.99981571]]","[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
6.9,3.2,5.7,2.3,"[[ 0.99818769 -0.06017748]
 [ 0.06017748  0.99818769]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]"
5.6,2.8,4.9,2.0,"[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.9998477  -0.01745241]
 [ 0.01745241  0.9998477 ]]"
7.7,2.8,6.7,2.0,"[[ 0.99774325 -0.06714462]
 [ 0.06714462  0.99774325]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.9998477  -0.01745241]
 [ 0.01745241  0.9998477 ]]"
6.3,2.7,4.9,1.8,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.7,3.3,5.7,2.1,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.99958537 -0.02879395]
 [ 0.02879395  0.99958537]]","[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99983208 -0.01832493]
 [ 0.01832493  0.99983208]]"
7.2,3.2,6.0,1.8,"[[ 0.99802673 -0.06279052]
 [ 0.06279052  0.99802673]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.2,2.8,4.8,1.8,"[[ 0.99853667 -0.05407881]
 [ 0.05407881  0.99853667]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.1,3.0,4.9,1.8,"[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.4,2.8,5.6,2.1,"[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99983208 -0.01832493]
 [ 0.01832493  0.99983208]]"
7.2,3.0,5.8,1.6,"[[ 0.99802673 -0.06279052]
 [ 0.06279052  0.99802673]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]"
7.4,2.8,6.1,1.9,"[[ 0.99791562 -0.06453231]
 [ 0.06453231  0.99791562]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99986254 -0.01657987]
 [ 0.01657987  0.99986254]]"
7.9,3.8,6.4,2.0,"[[ 0.99762454 -0.06888591]
 [ 0.06888591  0.99762454]]","[[ 0.99945022 -0.03315518]
 [ 0.03315518  0.99945022]]","[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.9998477  -0.01745241]
 [ 0.01745241  0.9998477 ]]"
6.4,2.8,5.6,2.2,"[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99981571 -0.01919744]
 [ 0.01919744  0.99981571]]"
6.3,2.8,5.1,1.5,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
6.1,2.6,5.6,1.4,"[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99974261 -0.02268733]
 [ 0.02268733  0.99974261]]","[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
7.7,3.0,6.1,2.3,"[[ 0.99774325 -0.06714462]
 [ 0.06714462  0.99774325]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]"
6.3,3.4,5.6,2.4,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99978068 -0.02094242]
 [ 0.02094242  0.99978068]]"
6.4,3.1,5.5,1.8,"[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.0,3.0,4.8,1.8,"[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.9,3.1,5.4,2.1,"[[ 0.99818769 -0.06017748]
 [ 0.06017748  0.99818769]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99888987 -0.04710645]
 [ 0.04710645  0.99888987]]","[[ 0.99983208 -0.01832493]
 [ 0.01832493  0.99983208]]"
6.7,3.1,5.6,2.4,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99978068 -0.02094242]
 [ 0.02094242  0.99978068]]"
6.9,3.1,5.1,2.3,"[[ 0.99818769 -0.06017748]
 [ 0.06017748  0.99818769]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]"
5.8,2.7,5.1,1.9,"[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99986254 -0.01657987]
 [ 0.01657987  0.99986254]]"
6.8,3.2,5.9,2.3,"[[ 0.99823983 -0.05930637]
 [ 0.05930637  0.99823983]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99867483 -0.05146447]
 [ 0.05146447  0.99867483]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]"
6.7,3.3,5.7,2.5,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.99958537 -0.02879395]
 [ 0.02879395  0.99958537]]","[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]"
6.7,3.0,5.2,2.3,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99897057 -0.04536299]
 [ 0.04536299  0.99897057]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]"
6.3,2.5,5.0,1.9,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]","[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99986254 -0.01657987]
 [ 0.01657987  0.99986254]]"
6.5,3.0,5.2,2.0,"[[ 0.99839167 -0.05669279]
 [ 0.05669279  0.99839167]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99897057 -0.04536299]
 [ 0.04536299  0.99897057]]","[[ 0.9998477  -0.01745241]
 [ 0.01745241  0.9998477 ]]"
6.2,3.4,5.4,2.3,"[[ 0.99853667 -0.05407881]
 [ 0.05407881  0.99853667]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99888987 -0.04710645]
 [ 0.04710645  0.99888987]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]"
5.9,3.0,5.1,1.8,"[[ 0.99867483 -0.05146447]
 [ 0.05146447  0.99867483]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
